epoch,train_loss,val_loss,val_cell_acc,val_grid_match,lr
1,1.890720,2.264209,0.163987,0.011905,0.000994
2,1.639460,2.227477,0.211170,0.011905,0.000976
3,1.649286,2.199020,0.234184,0.011905,0.000946
4,1.612686,2.172637,0.261820,0.011905,0.000905
5,1.615889,2.147064,0.325662,0.011905,0.000854
6,1.616118,2.123368,0.357535,0.011905,0.000794
7,1.549030,2.099980,0.386808,0.011905,0.000727
8,1.493149,2.078085,0.421281,0.011905,0.000655
9,1.463136,2.057599,0.450265,0.011905,0.000578
10,1.460539,2.037017,0.469331,0.011905,0.000500
11,1.425241,2.016051,0.497641,0.011905,0.000422
12,1.443036,1.995611,0.519499,0.011905,0.000345
13,1.413887,1.975660,0.538758,0.011905,0.000273
14,1.412457,1.956905,0.558402,0.011905,0.000206
15,1.355110,1.939391,0.565142,0.000000,0.000146
16,1.360851,1.922729,0.574579,0.000000,0.000095
17,1.344380,1.907051,0.580549,0.000000,0.000054
18,1.316609,1.891597,0.586712,0.000000,0.000024
19,1.328966,1.876853,0.591141,0.000000,0.000006
20,1.320854,1.862582,0.594511,0.000000,0.000000
